,year,week,Protests,ForcePosture,Coerce,Assault,Fight,UnconvMassViolence
136,2013,43,146,55,639,647,2884,28
137,2013,44,110,67,676,400,2620,9
138,2013,45,207,48,502,415,1915,16
139,2013,46,168,56,802,385,2531,10
140,2013,47,232,34,680,496,3295,21
141,2013,48,151,22,547,506,2298,13
142,2013,49,61,40,466,631,2216,9
143,2013,50,112,55,754,806,2472,24
144,2013,51,130,75,854,849,3268,41
145,2013,52,83,37,468,883,2318,7
146,2014,1,185,79,857,661,3462,19
147,2014,2,167,48,741,869,3691,39
148,2014,3,146,39,580,506,2428,20
149,2014,4,56,20,258,326,923,8
150,2014,5,158,67,542,453,2450,9
151,2014,6,161,51,643,433,2684,11
152,2014,7,150,58,670,443,2569,26
153,2014,8,118,60,547,514,2921,21
154,2014,9,91,60,765,563,2721,5
155,2014,10,106,53,573,440,2892,16
156,2014,11,322,84,765,601,2939,13
157,2014,12,204,179,950,572,4910,9
158,2014,13,150,174,736,419,4356,28
159,2014,14,140,74,538,308,3379,25
160,2014,15,104,103,586,352,2712,9
161,2014,16,158,78,514,586,2790,11
162,2014,17,114,62,617,292,2338,4
163,2014,18,198,53,464,414,2396,8
164,2014,19,151,31,490,229,1817,4
165,2014,20,156,25,526,315,2121,9
166,2014,21,172,57,534,189,1922,23
167,2014,22,200,44,682,435,2143,1
168,2014,23,260,63,522,327,1751,0
169,2014,24,107,56,527,379,2492,6
170,2014,25,152,78,826,595,3988,19
171,2014,26,101,111,648,381,4326,27
172,2014,27,134,88,661,273,2556,10
173,2014,28,122,65,587,303,2420,16
174,2014,29,162,42,391,248,2390,13
175,2014,30,117,55,468,281,2506,12
176,2014,31,78,52,394,347,2651,8
177,2014,32,140,70,576,430,3769,26
178,2014,33,111,92,685,581,4067,57
179,2014,34,130,94,1575,2483,5686,26
180,2014,35,281,149,1870,2004,6964,50
181,2014,36,182,117,1112,1322,4674,56
182,2014,37,174,175,1231,1309,6112,16
183,2014,38,154,224,1183,961,6273,41
184,2014,39,375,334,1754,1215,12600,41
185,2014,40,314,392,1342,1208,7395,31
186,2014,41,725,524,1491,1296,9120,121
187,2014,42,215,291,1177,968,6301,38
188,2014,43,147,288,874,758,5640,24
189,2014,44,165,261,818,795,5072,21
190,2014,45,99,207,806,597,4676,15
191,2014,46,134,106,791,756,4116,10
192,2014,47,114,100,655,826,3130,18
193,2014,48,182,87,814,405,3410,45
194,2014,49,159,153,1279,625,3649,8
195,2014,50,100,83,731,504,3026,16
196,2014,51,101,84,690,537,3082,17
197,2014,52,197,99,618,451,3401,24
198,2015,1,119,23,270,257,1398,14
199,2015,2,125,87,840,571,3222,23
200,2015,3,174,206,1177,542,4285,21
201,2015,4,108,127,964,847,5292,14
202,2015,5,98,140,1061,722,4929,14
203,2015,6,193,127,1125,921,4879,16
204,2015,7,144,99,962,858,4206,17
205,2015,8,122,85,803,728,3567,11
206,2015,9,263,100,1420,1660,4412,40
207,2015,10,185,76,979,581,4005,13
208,2015,11,325,99,1077,672,4636,43
209,2015,12,213,77,982,543,3550,20
210,2015,13,176,70,785,414,3351,17
211,2015,14,161,63,1181,485,3660,42
212,2015,15,134,70,971,550,3661,52
213,2015,16,151,54,802,405,2827,43
214,2015,17,142,100,950,600,3259,42
215,2015,18,78,74,657,484,3556,24
216,2015,19,85,71,470,420,3472,23
217,2015,20,171,135,815,564,4554,18
218,2015,21,159,213,930,778,4806,21
219,2015,22,111,105,910,583,4235,61
220,2015,23,229,105,846,442,3843,29
221,2015,24,172,83,703,419,4496,62
222,2015,25,261,169,771,354,4603,194
223,2015,26,166,124,905,1043,5410,160
224,2015,27,283,240,878,766,5146,128
225,2015,28,145,148,782,606,4350,65
226,2015,29,88,131,701,641,3347,37
227,2015,30,224,319,1098,893,5528,31
228,2015,31,100,94,965,793,5400,19
229,2015,32,116,147,988,846,4901,23
230,2015,33,200,136,1309,840,5419,35
231,2015,34,341,151,1063,1016,5105,39
232,2015,35,267,137,1050,819,4129,24
233,2015,36,291,174,1427,768,4528,32
234,2015,37,339,468,1380,791,5562,49
235,2015,38,321,543,1243,589,5252,39
236,2015,39,196,506,976,485,4724,38
237,2015,40,407,824,1380,809,9749,59
238,2015,41,328,892,1158,816,11615,25
239,2015,42,373,550,1231,799,9867,53
240,2015,43,180,275,760,468,5953,28
241,2015,44,245,595,1034,630,6733,18
242,2015,45,235,458,969,701,6475,20
243,2015,46,232,430,1306,994,7684,29
244,2015,47,478,498,3534,1521,11844,94
245,2015,48,597,951,2220,807,11598,46
246,2015,49,513,719,2102,744,9441,81
247,2015,50,428,442,1867,736,7836,220
248,2015,51,266,423,1656,729,6963,52
249,2015,52,217,209,1085,771,7462,56
250,2015,53,133,157,908,641,4887,23
251,2016,1,432,188,1502,1169,5685,24
252,2016,2,288,222,1576,1601,6215,63
253,2016,3,208,160,1358,930,5312,93
254,2016,4,214,180,1063,559,4336,29
255,2016,5,221,547,1299,767,6456,22
256,2016,6,285,708,1834,1078,9221,155
257,2016,7,246,694,1635,1290,12844,117
258,2016,8,239,383,1126,909,8339,52
259,2016,9,399,261,1397,703,6169,24
260,2016,10,335,183,901,429,4202,10
261,2016,11,395,464,1359,687,5403,42
262,2016,12,232,280,1423,669,6096,38
263,2016,13,339,239,1430,643,5651,71
264,2016,14,333,294,1642,1062,6074,42
265,2016,15,230,195,1187,719,5359,14
266,2016,16,234,213,934,653,5658,30
267,2016,17,307,335,954,770,5932,59
268,2016,18,386,180,1193,703,7224,48
269,2016,19,243,190,1212,844,6951,52
270,2016,20,159,103,981,485,4294,47
271,2016,21,211,181,990,750,5071,20
272,2016,22,202,163,953,664,5181,24
273,2016,23,155,221,1018,741,5548,41
274,2016,24,151,172,919,577,5320,42
275,2016,25,191,163,1117,989,5028,14
276,2016,26,146,142,922,986,5726,31
277,2016,27,142,139,720,738,4472,20
278,2016,28,194,161,1109,540,4943,38
279,2016,29,188,152,1086,647,4630,32
280,2016,30,237,142,1320,1138,5115,30
281,2016,31,229,108,1150,690,6255,16
282,2016,32,156,199,1151,757,5907,23
283,2016,33,223,241,1115,921,6538,29
284,2016,34,299,214,1365,1101,9111,56
285,2016,35,212,247,1308,744,7676,99
286,2016,36,230,202,1298,805,7567,47
287,2016,37,321,235,1212,696,8528,44
288,2016,38,250,268,1309,994,8933,47
289,2016,39,338,219,1231,1102,7372,45
290,2016,40,225,351,1452,1133,8183,30
291,2016,41,509,406,1563,1104,6778,32
292,2016,42,325,294,1244,956,7237,36
293,2016,43,201,294,1095,814,6888,21
294,2016,44,217,223,1159,792,5232,19
295,2016,45,203,157,952,636,5370,45
296,2016,46,255,156,1316,769,5764,11
297,2016,47,160,176,1130,757,6028,29
298,2016,48,212,271,1108,822,5922,46
299,2016,49,304,205,1198,876,7078,39
300,2016,50,673,247,1724,1299,7323,160
301,2016,51,439,261,1597,1287,7591,94
302,2016,52,205,149,766,615,4701,44
303,2016,53,88,43,408,247,1973,6
304,2017,1,132,212,822,617,5526,44
305,2017,2,118,166,753,744,4020,26
306,2017,3,154,197,900,593,4039,24
307,2017,4,276,261,3615,580,3546,31
308,2017,5,584,140,6736,509,3679,34
309,2017,6,212,173,3007,990,4899,15
310,2017,7,229,287,1593,630,4092,41
311,2017,8,163,161,1478,822,4960,13
312,2017,9,213,193,1472,517,5075,19
313,2017,10,224,519,1911,636,4425,21
314,2017,11,267,362,1396,713,4555,16
315,2017,12,229,304,893,631,4960,16
316,2017,13,220,178,823,501,4011,33
317,2017,14,757,400,2091,1516,20087,163
318,2017,15,513,389,1543,1024,11567,157
319,2017,16,234,155,776,499,4831,45
320,2017,17,237,474,1010,466,7024,38
321,2017,18,197,193,825,385,4081,14
322,2017,19,151,220,908,453,3754,13
323,2017,20,180,221,816,623,4118,34
324,2017,21,120,142,772,404,3431,30
325,2017,22,85,152,696,320,3377,18
326,2017,23,103,186,712,524,4179,8
327,2017,24,167,245,737,364,3864,12
328,2017,25,169,324,697,381,7677,19
329,2017,26,76,241,1373,712,5942,29
330,2017,27,219,276,797,488,3673,7
331,2017,28,116,139,832,226,3543,14
332,2017,29,158,171,695,448,4078,12
