year,week,province,Adult - Female,Adult - Male,Child - Female,Child - Male
2011,19,Hama,0.0,0.0,0.0,0.0
2011,19,Hasakeh,0.0,0.0,0.0,0.0
2011,19,Homs,2.0,23.0,0.0,0.0
2011,19,Idlib,0.0,1.0,0.0,0.0
2011,19,Lattakia,0.0,0.0,0.0,0.0
2011,19,Quneitra,0.0,0.0,0.0,0.0
2011,19,Raqqa,0.0,0.0,0.0,0.0
2011,19,Sweida,0.0,0.0,0.0,0.0
2011,19,Tartous,0.0,2.0,0.0,0.0
2011,20,Aleppo,0.0,0.0,0.0,0.0
2011,20,Damascus,0.0,2.0,0.0,0.0
2011,20,Damascus Suburbs,0.0,11.0,0.0,2.0
2011,20,Daraa,2.0,35.0,1.0,5.0
2011,20,Deir Ezzor,0.0,6.0,0.0,0.0
2011,20,Hama,0.0,3.0,0.0,0.0
2011,20,Hasakeh,0.0,2.0,0.0,0.0
2011,20,Homs,0.0,72.0,0.0,3.0
2011,20,Idlib,0.0,38.0,0.0,2.0
2011,20,Lattakia,0.0,3.0,0.0,0.0
2011,20,Quneitra,0.0,0.0,0.0,0.0
2011,20,Raqqa,0.0,0.0,0.0,0.0
2011,20,Sweida,0.0,0.0,0.0,0.0
2011,20,Tartous,0.0,4.0,0.0,0.0
2011,21,Aleppo,0.0,1.0,0.0,0.0
2011,21,Damascus,0.0,0.0,0.0,0.0
2011,21,Damascus Suburbs,0.0,7.0,0.0,0.0
2011,21,Daraa,0.0,9.0,0.0,0.0
2011,21,Deir Ezzor,0.0,0.0,0.0,0.0
2011,21,Hama,1.0,2.0,0.0,0.0
2011,21,Hasakeh,0.0,0.0,0.0,0.0
2011,21,Homs,2.0,25.0,1.0,0.0
2011,21,Idlib,0.0,0.0,0.0,1.0
2011,21,Lattakia,0.0,2.0,0.0,0.0
2011,21,Quneitra,0.0,0.0,0.0,0.0
2011,21,Raqqa,0.0,0.0,0.0,0.0
2011,21,Sweida,0.0,0.0,0.0,0.0
2011,21,Tartous,0.0,0.0,0.0,0.0
2011,22,Aleppo,0.0,2.0,0.0,0.0
2011,22,Damascus,0.0,6.0,0.0,0.0
2011,22,Damascus Suburbs,0.0,1.0,0.0,0.0
2011,22,Daraa,2.0,16.0,1.0,0.0
2011,22,Deir Ezzor,0.0,7.0,0.0,4.0
2011,22,Hama,0.0,74.0,0.0,6.0
2011,22,Hasakeh,0.0,0.0,0.0,0.0
2011,22,Homs,3.0,40.0,0.0,1.0
2011,22,Idlib,4.0,78.0,0.0,2.0
2011,22,Lattakia,0.0,6.0,0.0,0.0
2011,22,Quneitra,0.0,0.0,0.0,0.0
2011,22,Raqqa,0.0,0.0,0.0,0.0
2011,22,Sweida,0.0,0.0,0.0,0.0
2011,22,Tartous,0.0,0.0,0.0,0.0
2011,23,Aleppo,0.0,0.0,0.0,0.0
2011,23,Damascus,0.0,44.0,0.0,0.0
2011,23,Damascus Suburbs,0.0,1.0,0.0,1.0
2011,23,Daraa,0.0,2.0,0.0,0.0
2011,23,Deir Ezzor,0.0,0.0,0.0,2.0
2011,23,Hama,0.0,1.0,0.0,0.0
2011,23,Hasakeh,0.0,0.0,0.0,0.0
2011,23,Homs,0.0,8.0,0.0,0.0
2011,23,Idlib,1.0,31.0,0.0,1.0
2011,23,Lattakia,0.0,20.0,0.0,1.0
2011,23,Quneitra,0.0,0.0,0.0,0.0
