year,week,none,Civilian,Non-Civilian,Adult - Female,Adult - Male,Child - Female,Child - Male,Chemical and toxic gases,Detention - Execution,Detention - Torture,Detention - Torture - Execution,Explosion,Field Execution,Kidnapping - Execution,Kidnapping - Torture,Kidnapping - Torture - Execution,Other,Shelling,Shooting,Siege,Un-allowed to seek Medical help,Unknown,Warplane shelling,total
2016,28,,355,106,61,330,27,43,0,0,12,0,20,1,0,0,0,1,65,113,0,1,6,242,461
2016,29,,524,88,58,436,37,81,0,0,13,0,18,3,13,2,0,3,81,79,2,0,15,383,612
2016,30,,330,100,43,302,29,56,0,0,6,0,19,3,8,1,0,1,57,102,0,0,13,220,430
2016,31,,254,191,37,330,28,50,0,0,7,0,31,0,0,0,0,0,77,212,1,0,5,112,445
2016,32,,328,135,53,345,20,45,3,0,8,0,29,2,6,0,0,0,75,146,0,0,1,193,463
2016,33,,279,89,35,277,17,39,0,1,6,0,33,0,7,1,0,0,86,93,0,2,1,138,368
2016,34,,243,85,39,219,27,43,0,0,2,0,28,2,6,0,0,0,42,93,0,0,4,151,328
2016,35,,209,176,29,307,26,23,0,0,3,0,38,3,8,0,0,0,33,174,0,0,22,104,385
2016,36,,264,125,37,276,23,53,1,0,2,0,10,2,5,0,0,0,57,120,0,0,3,189,389
2016,37,,138,55,13,148,10,22,0,0,1,0,9,5,9,0,0,0,26,55,0,0,0,88,193
2016,38,,470,109,47,442,22,68,0,0,6,0,39,0,3,0,0,0,12,79,0,1,0,439,579
2016,39,,269,76,39,240,30,36,0,1,15,0,13,2,1,0,0,0,57,68,0,0,2,186,345
2016,40,,231,98,28,257,10,34,0,0,5,0,37,0,10,0,0,0,70,79,0,0,1,127,329
2016,41,,275,80,46,253,27,29,0,0,5,0,38,0,3,1,0,0,54,71,1,0,1,181,355
2016,42,,173,94,27,189,18,33,0,0,3,0,26,1,5,0,0,0,14,98,2,0,9,109,267
2016,43,,185,174,28,270,31,30,0,0,2,0,17,0,4,0,0,0,52,169,0,0,0,115,359
2016,44,,216,87,30,201,30,42,0,0,2,0,18,0,4,1,0,0,55,94,1,1,1,126,303
2016,45,,231,95,44,213,24,45,0,1,5,0,14,0,7,0,0,0,48,92,1,1,3,154,326
2016,46,,347,78,54,266,35,70,0,0,23,3,27,1,0,0,0,0,80,91,0,1,3,196,425
2016,47,,301,92,33,304,25,31,1,0,3,1,20,0,4,1,0,0,51,93,0,1,3,215,393
2016,48,,267,54,25,236,11,49,0,0,4,0,7,5,4,1,0,1,84,63,0,0,6,146,321
2016,49,,225,60,31,181,25,48,2,1,1,0,7,1,1,0,0,0,86,68,1,0,2,115,285
2016,50,,181,41,20,170,14,18,34,0,5,0,4,65,0,0,0,0,26,38,1,0,0,49,222
2016,51,,154,36,17,143,9,21,0,0,2,0,8,21,1,1,0,2,16,37,0,0,0,102,190
2016,52,,116,27,17,92,11,23,0,0,4,0,20,2,1,0,0,0,40,28,0,0,0,48,143
2016,53,,41,27,5,57,1,5,0,0,7,0,2,1,10,0,0,2,7,32,0,0,0,7,68
2017,1,,107,46,9,131,0,13,0,0,3,0,11,1,2,0,0,0,51,52,1,0,2,30,153
2017,2,,160,42,22,153,10,17,0,0,2,0,3,12,0,0,0,1,67,35,0,1,2,79,202
2017,3,,142,46,21,144,6,17,0,0,0,0,10,0,0,0,0,0,43,41,0,0,2,92,188
2017,4,,91,25,14,91,6,5,0,0,2,0,14,6,3,1,0,0,15,30,0,0,1,44,116
2017,5,,115,103,13,176,5,24,0,0,1,0,27,0,4,0,0,3,51,84,1,0,10,37,218
2017,6,,207,63,33,193,9,35,1,0,7,0,27,7,3,3,0,1,75,72,0,1,3,70,270
2017,7,,173,201,38,295,16,25,0,78,4,0,24,5,1,0,0,1,44,115,0,2,3,97,374
2017,8,,297,190,27,420,12,28,0,17,5,0,136,40,1,0,0,1,36,128,1,0,1,121,487
2017,9,,179,102,22,219,10,30,0,0,8,0,54,8,11,0,0,0,20,91,2,1,1,85,281
2017,10,,151,62,21,170,9,13,0,0,3,1,47,11,1,0,0,0,25,42,0,1,2,80,213
2017,11,,231,64,34,212,16,33,0,0,1,0,49,9,1,0,0,2,13,70,1,2,4,143,295
2017,12,,245,103,35,256,24,33,0,0,2,0,19,1,5,0,0,3,35,104,0,0,1,178,348
2017,13,,117,65,8,144,6,24,0,0,0,0,14,1,2,0,0,1,17,66,1,0,0,80,182
2017,14,,369,83,63,275,46,68,89,0,2,0,12,2,3,0,0,5,33,70,0,0,1,235,452
2017,15,,96,89,12,155,5,13,1,1,1,0,32,0,3,0,0,2,29,67,1,0,10,38,185
2017,16,,114,94,15,152,15,26,0,0,4,0,15,4,0,0,1,0,27,83,0,1,3,70,208
2017,17,,148,161,25,242,15,27,0,0,2,0,19,10,2,0,0,1,19,148,0,0,4,104,309
2017,18,,114,157,15,215,15,26,0,0,0,0,22,2,5,2,0,2,32,152,0,0,1,53,271
2017,19,,129,59,28,137,7,16,0,1,3,0,15,1,4,0,3,1,12,43,0,0,0,105,188
2017,20,,110,58,15,118,11,24,0,0,2,0,33,23,0,0,0,3,17,40,0,0,1,49,168
2017,21,,153,33,23,128,21,14,0,0,9,0,26,0,1,0,0,2,36,29,1,0,1,81,186
2017,22,,91,83,12,144,8,10,0,1,10,0,18,2,0,0,0,0,48,66,0,0,2,27,174
2017,23,,119,56,10,133,14,18,0,1,1,0,12,0,0,0,0,1,27,55,0,1,1,76,175
2017,24,,100,71,5,144,12,10,0,0,1,0,9,7,4,2,0,3,16,82,0,0,0,47,171
2017,25,,145,85,22,184,6,18,0,1,2,0,51,3,0,0,0,0,21,68,0,1,0,83,230
2017,26,,195,91,27,224,14,21,0,1,0,0,20,4,0,0,0,2,45,77,0,0,6,131,286
2017,27,,123,46,14,119,14,22,0,0,11,0,11,1,2,0,0,1,32,51,0,0,2,58,169
2017,28,,173,45,33,145,16,24,0,0,1,0,19,3,2,0,0,0,26,37,0,0,5,125,218
2017,29,,226,69,41,190,30,34,0,1,1,0,48,3,0,0,0,2,32,68,2,0,8,130,295
2017,30,,140,33,17,126,12,18,0,0,1,0,32,2,1,0,0,0,17,27,0,0,1,92,173
2017,31,,158,25,22,136,12,13,0,0,5,0,23,6,3,0,0,5,37,22,0,1,0,81,183
2017,32,,107,74,24,134,12,11,0,0,5,0,56,1,2,0,1,1,13,38,0,1,1,62,181
2017,33,,177,38,36,125,28,26,0,0,2,0,12,0,3,0,0,0,40,39,1,1,0,117,215
2017,34,,90,21,20,67,4,20,0,0,2,0,11,0,0,1,0,0,24,22,1,1,3,46,111
2017,35,,61,46,5,92,3,7,0,0,2,0,9,0,0,0,0,1,9,45,1,0,0,40,107
2017,36,,147,20,12,140,6,9,0,0,4,0,8,28,0,1,0,13,22,21,1,0,0,69,167
2017,37,,145,20,28,117,7,13,0,0,5,0,13,3,1,0,0,2,14,17,0,0,0,110,165
2017,38,,151,141,39,229,5,19,0,0,5,0,9,1,3,0,0,1,31,83,2,0,1,156,292
2017,39,,233,29,43,168,16,35,0,0,1,0,12,0,4,0,0,2,46,34,1,1,1,160,262
2017,40,,226,62,43,193,22,30,0,0,3,0,1,2,4,0,0,2,39,48,1,0,1,187,288
2017,41,,195,49,37,164,20,23,0,0,4,0,13,0,1,1,0,0,25,35,0,0,1,164,244
2017,42,,138,29,7,148,5,7,0,1,1,0,8,91,1,0,0,0,16,27,3,0,1,18,167
2017,43,,56,23,14,56,1,8,0,0,3,0,14,1,0,0,0,1,32,7,1,0,0,20,79
2017,44,,56,25,2,58,6,15,0,0,4,0,15,0,0,0,0,0,19,28,5,0,0,10,81
2017,45,,65,43,8,89,4,7,0,0,3,0,25,0,1,1,0,1,13,44,3,1,1,15,108
2017,46,,170,54,18,174,14,18,0,0,1,0,16,0,0,0,0,0,46,45,0,1,2,113,224
2017,47,,158,46,21,156,13,14,0,0,0,0,38,0,1,0,0,2,58,36,6,0,0,63,204
2017,48,,159,44,10,159,8,26,0,0,1,0,44,0,0,0,0,2,12,36,6,0,0,102,203
2017,49,,118,43,14,128,10,9,0,0,1,0,48,0,5,0,0,0,26,34,3,0,2,42,161
2017,50,,102,21,28,61,11,23,0,0,0,0,28,0,4,0,0,0,10,23,0,0,1,57,123
2017,51,,93,26,17,77,6,19,0,0,3,0,15,7,2,0,0,1,16,28,2,0,0,45,119
2017,52,,156,55,26,145,13,27,0,0,0,0,30,0,2,0,0,1,35,47,1,1,1,93,211
2018,1,,55,28,6,61,6,10,0,0,0,0,8,0,0,0,0,1,9,28,0,0,0,37,83
2018,2,,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5
