year,week,NumSources
2017,45,17740
2017,46,20256
2017,47,20691
2017,48,16954
2017,49,15653
2017,50,14631
2017,51,12360
2017,52,24014
2018,1,13259
2018,2,13063
